article_id,year,feature_group,feature_value,feature_column,present
AJ7WNY5I,2023,source_type,professional_publication,source_type__professional_publication,1
AJ7WNY5I,2023,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
AJ7WNY5I,2023,primary_methodology,none,primary_methodology__none,1
AJ7WNY5I,2023,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
AJ7WNY5I,2023,conceptual_theme,participatory_culture_and_production,conceptual_theme__participatory_culture_and_production,1
AJ7WNY5I,2023,library_context,multiple_library_types,library_context__multiple_library_types,1
AJ7WNY5I,2023,game_format,digital_game,game_format__digital_game,1
AJ7WNY5I,2023,game_format,tabletop_game,game_format__tabletop_game,1
AJ7WNY5I,2023,game_format,tabletop_roleplaying_game,game_format__tabletop_roleplaying_game,1
AJ7WNY5I,2023,service_area,collections_and_access,service_area__collections_and_access,1
AJ7WNY5I,2023,service_area,discovery_and_advisory,service_area__discovery_and_advisory,1
AJ7WNY5I,2023,service_area,learning_and_literacy,service_area__learning_and_literacy,1
AJ7WNY5I,2023,service_area,community_and_inclusion,service_area__community_and_inclusion,1
AJ7WNY5I,2023,service_audience,general_public,service_audience__general_public,1
AJ7WNY5I,2023,intended_outcome,engagement_and_participation,intended_outcome__engagement_and_participation,1
AJ7WNY5I,2023,evidence_confidence,descriptive_only,evidence_confidence__descriptive_only,1
AJ7WNY5I,2023,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
AJ7WNY5I,2023,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
R25JQETQ,2024,source_type,blog_or_web_article,source_type__blog_or_web_article,1
R25JQETQ,2024,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
R25JQETQ,2024,primary_methodology,none,primary_methodology__none,1
R25JQETQ,2024,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
R25JQETQ,2024,library_context,non_library_context,library_context__non_library_context,1
R25JQETQ,2024,game_format,tabletop_roleplaying_game,game_format__tabletop_roleplaying_game,1
R25JQETQ,2024,service_area,creation_and_making,service_area__creation_and_making,1
R25JQETQ,2024,service_audience,general_public,service_audience__general_public,1
R25JQETQ,2024,intended_outcome,other,intended_outcome__other,1
R25JQETQ,2024,evidence_confidence,descriptive_only,evidence_confidence__descriptive_only,1
R25JQETQ,2024,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
67C8TZZX,2021,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
67C8TZZX,2021,evidence_type,empirical_study,evidence_type__empirical_study,1
67C8TZZX,2021,primary_methodology,mixed_methods,primary_methodology__mixed_methods,1
67C8TZZX,2021,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
67C8TZZX,2021,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
67C8TZZX,2021,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
67C8TZZX,2021,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
67C8TZZX,2021,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
67C8TZZX,2021,conceptual_theme,social_equity_and_access,conceptual_theme__social_equity_and_access,1
67C8TZZX,2021,library_context,public_library,library_context__public_library,1
67C8TZZX,2021,game_format,digital_game,game_format__digital_game,1
67C8TZZX,2021,service_area,learning_and_literacy,service_area__learning_and_literacy,1
67C8TZZX,2021,service_area,community_and_inclusion,service_area__community_and_inclusion,1
67C8TZZX,2021,service_area,outreach_and_partnerships,service_area__outreach_and_partnerships,1
67C8TZZX,2021,service_audience,teens,service_audience__teens,1
67C8TZZX,2021,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
67C8TZZX,2021,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
67C8TZZX,2021,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
67C8TZZX,2021,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
67C8TZZX,2021,service_conditions_addressed,community_assessment_needed,service_conditions_addressed__community_assessment_needed,1
67C8TZZX,2021,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
67C8TZZX,2021,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
EYQUEMRN,2023,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
EYQUEMRN,2023,evidence_type,theoretical_or_conceptual,evidence_type__theoretical_or_conceptual,1
EYQUEMRN,2023,primary_methodology,case_or_design_study,primary_methodology__case_or_design_study,1
EYQUEMRN,2023,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
EYQUEMRN,2023,conceptual_theme,conditional_benefits,conceptual_theme__conditional_benefits,1
EYQUEMRN,2023,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
EYQUEMRN,2023,library_context,public_library,library_context__public_library,1
EYQUEMRN,2023,game_format,unspecified_game_format,game_format__unspecified_game_format,1
EYQUEMRN,2023,service_area,professional_capacity,service_area__professional_capacity,1
EYQUEMRN,2023,service_area,outreach_and_partnerships,service_area__outreach_and_partnerships,1
EYQUEMRN,2023,service_area,cultural_heritage_and_research,service_area__cultural_heritage_and_research,1
EYQUEMRN,2023,service_audience,general_public,service_audience__general_public,1
EYQUEMRN,2023,intended_outcome,institutional_capacity,intended_outcome__institutional_capacity,1
EYQUEMRN,2023,evidence_confidence,theoretical_or_conceptual,evidence_confidence__theoretical_or_conceptual,1
EYQUEMRN,2023,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
EYQUEMRN,2023,service_conditions_addressed,sustainable_operations,service_conditions_addressed__sustainable_operations,1
EYQUEMRN,2023,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
UXSNV642,2023,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
UXSNV642,2023,evidence_type,evidence_synthesis,evidence_type__evidence_synthesis,1
UXSNV642,2023,primary_methodology,evidence_synthesis,primary_methodology__evidence_synthesis,1
UXSNV642,2023,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
UXSNV642,2023,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
UXSNV642,2023,library_context,library_school,library_context__library_school,1
UXSNV642,2023,game_format,gamification,game_format__gamification,1
UXSNV642,2023,service_area,learning_and_literacy,service_area__learning_and_literacy,1
UXSNV642,2023,service_audience,students,service_audience__students,1
UXSNV642,2023,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
UXSNV642,2023,evidence_confidence,theoretical_or_conceptual,evidence_confidence__theoretical_or_conceptual,1
UXSNV642,2023,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
UXSNV642,2023,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
UXSNV642,2023,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
UXSNV642,2023,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
