feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
service_area,learning_and_literacy,service_conditions_addressed,skilled_facilitation_required,141,62.1
service_conditions_addressed,access_infrastructure_required,service_conditions_addressed,skilled_facilitation_required,136,59.9
service_conditions_addressed,skilled_facilitation_required,source_type,peer_reviewed_journal_article,131,57.7
service_area,learning_and_literacy,source_type,peer_reviewed_journal_article,115,50.7
service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed,skilled_facilitation_required,110,48.5
service_area,learning_and_literacy,service_conditions_addressed,access_infrastructure_required,109,48.0
service_conditions_addressed,access_infrastructure_required,source_type,peer_reviewed_journal_article,109,48.0
intended_outcome,learning_and_literacy,service_area,learning_and_literacy,102,44.9
conceptual_theme,games_as_cultural_media,service_conditions_addressed,skilled_facilitation_required,99,43.6
service_conditions_addressed,access_infrastructure_required,service_conditions_addressed,inclusive_design_or_accessibility,99,43.6
conceptual_theme,games_as_cultural_media,service_conditions_addressed,access_infrastructure_required,97,42.7
conceptual_theme,information_behavior_and_practice,service_area,learning_and_literacy,96,42.3
conceptual_theme,information_behavior_and_practice,service_conditions_addressed,skilled_facilitation_required,93,41.0
service_area,learning_and_literacy,service_conditions_addressed,inclusive_design_or_accessibility,92,40.5
game_format,digital_game,service_conditions_addressed,skilled_facilitation_required,92,40.5
conceptual_theme,information_behavior_and_practice,source_type,peer_reviewed_journal_article,89,39.2
intended_outcome,learning_and_literacy,service_conditions_addressed,skilled_facilitation_required,88,38.8
game_format,digital_game,source_type,peer_reviewed_journal_article,87,38.3
game_format,digital_game,service_area,learning_and_literacy,87,38.3
service_conditions_addressed,inclusive_design_or_accessibility,source_type,peer_reviewed_journal_article,86,37.9
game_format,digital_game,service_conditions_addressed,access_infrastructure_required,84,37.0
evidence_confidence,demonstrated_outcome,source_type,peer_reviewed_journal_article,84,37.0
service_area,learning_and_literacy,service_audience,students,83,36.6
conceptual_theme,games_as_cultural_media,service_audience,general_public,82,36.1
conceptual_theme,games_as_cultural_media,service_area,learning_and_literacy,82,36.1
evidence_confidence,demonstrated_outcome,service_conditions_addressed,skilled_facilitation_required,81,35.7
conceptual_theme,games_as_cultural_media,service_conditions_addressed,inclusive_design_or_accessibility,80,35.2
intended_outcome,learning_and_literacy,source_type,peer_reviewed_journal_article,80,35.2
service_audience,students,service_conditions_addressed,skilled_facilitation_required,80,35.2
conceptual_theme,information_behavior_and_practice,service_conditions_addressed,access_infrastructure_required,78,34.4
conceptual_theme,games_as_cultural_media,source_type,peer_reviewed_journal_article,77,33.9
conceptual_theme,information_behavior_and_practice,service_conditions_addressed,inclusive_design_or_accessibility,74,32.6
service_area,community_and_inclusion,service_area,learning_and_literacy,73,32.2
service_audience,students,source_type,peer_reviewed_journal_article,73,32.2
service_audience,general_public,service_conditions_addressed,access_infrastructure_required,72,31.7
evidence_type,empirical_study,source_type,peer_reviewed_journal_article,70,30.8
evidence_type,empirical_study,service_conditions_addressed,skilled_facilitation_required,70,30.8
evidence_confidence,demonstrated_outcome,service_conditions_addressed,access_infrastructure_required,69,30.4
service_area,community_and_inclusion,service_conditions_addressed,skilled_facilitation_required,68,30.0
service_audience,general_public,service_conditions_addressed,skilled_facilitation_required,68,30.0
conceptual_theme,games_as_cultural_media,conceptual_theme,information_behavior_and_practice,67,29.5
game_format,tabletop_game,service_conditions_addressed,skilled_facilitation_required,67,29.5
evidence_confidence,demonstrated_outcome,service_area,learning_and_literacy,66,29.1
conceptual_theme,service_ecology,service_conditions_addressed,skilled_facilitation_required,66,29.1
service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed,skilled_facilitation_required,65,28.6
intended_outcome,learning_and_literacy,service_audience,students,64,28.2
conceptual_theme,games_as_cultural_media,game_format,digital_game,63,27.8
service_conditions_addressed,evaluation_or_reflection,source_type,peer_reviewed_journal_article,63,27.8
service_area,learning_and_literacy,service_conditions_addressed,evaluation_or_reflection,62,27.3
game_format,digital_game,service_conditions_addressed,inclusive_design_or_accessibility,62,27.3
service_audience,general_public,service_conditions_addressed,inclusive_design_or_accessibility,61,26.9
intended_outcome,learning_and_literacy,service_conditions_addressed,access_infrastructure_required,61,26.9
conceptual_theme,game_literacy,service_area,learning_and_literacy,61,26.9
library_context,academic_library,source_type,peer_reviewed_journal_article,60,26.4
conceptual_theme,games_as_cultural_media,game_format,tabletop_game,60,26.4
evidence_confidence,demonstrated_outcome,evidence_type,empirical_study,60,26.4
service_area,collections_and_access,service_conditions_addressed,access_infrastructure_required,59,26.0
conceptual_theme,information_behavior_and_practice,game_format,digital_game,59,26.0
conceptual_theme,educational_psychology,service_area,learning_and_literacy,59,26.0
conceptual_theme,service_ecology,source_type,peer_reviewed_journal_article,58,25.6
library_context,academic_library,service_conditions_addressed,skilled_facilitation_required,58,25.6
game_format,tabletop_game,service_area,learning_and_literacy,58,25.6
service_area,community_and_inclusion,service_conditions_addressed,inclusive_design_or_accessibility,58,25.6
game_format,digital_game,intended_outcome,learning_and_literacy,57,25.1
game_format,tabletop_game,service_conditions_addressed,access_infrastructure_required,57,25.1
evidence_type,empirical_study,service_conditions_addressed,access_infrastructure_required,57,25.1
evidence_type,empirical_study,service_area,learning_and_literacy,57,25.1
evidence_confidence,demonstrated_outcome,game_format,digital_game,57,25.1
service_area,learning_and_literacy,service_audience,general_public,57,25.1
service_audience,students,service_conditions_addressed,access_infrastructure_required,56,24.7
conceptual_theme,game_literacy,service_conditions_addressed,skilled_facilitation_required,56,24.7
conceptual_theme,service_ecology,service_conditions_addressed,access_infrastructure_required,56,24.7
conceptual_theme,games_as_cultural_media,service_area,community_and_inclusion,54,23.8
service_area,community_and_inclusion,service_conditions_addressed,access_infrastructure_required,53,23.3
conceptual_theme,information_behavior_and_practice,intended_outcome,learning_and_literacy,53,23.3
service_audience,general_public,source_type,peer_reviewed_journal_article,53,23.3
conceptual_theme,service_ecology,service_area,learning_and_literacy,53,23.3
game_format,tabletop_game,source_type,peer_reviewed_journal_article,53,23.3
intended_outcome,engagement_and_participation,service_conditions_addressed,skilled_facilitation_required,52,22.9
library_context,academic_library,service_area,learning_and_literacy,52,22.9
conceptual_theme,games_as_cultural_media,evidence_type,practitioner_reflection,52,22.9
evidence_type,practitioner_reflection,service_conditions_addressed,skilled_facilitation_required,52,22.9
game_format,tabletop_game,service_conditions_addressed,inclusive_design_or_accessibility,51,22.5
game_format,digital_game,service_audience,general_public,51,22.5
conceptual_theme,educational_psychology,source_type,peer_reviewed_journal_article,51,22.5
conceptual_theme,game_literacy,intended_outcome,learning_and_literacy,51,22.5
conceptual_theme,games_as_cultural_media,game_format,tabletop_roleplaying_game,51,22.5
conceptual_theme,information_behavior_and_practice,service_area,community_and_inclusion,51,22.5
service_area,collections_and_access,service_conditions_addressed,skilled_facilitation_required,50,22.0
conceptual_theme,educational_psychology,service_conditions_addressed,skilled_facilitation_required,50,22.0
evidence_confidence,demonstrated_outcome,intended_outcome,learning_and_literacy,50,22.0
service_area,programming_and_facilitation,service_conditions_addressed,skilled_facilitation_required,49,21.6
evidence_confidence,practitioner_knowledge,service_conditions_addressed,skilled_facilitation_required,49,21.6
conceptual_theme,service_ecology,service_conditions_addressed,inclusive_design_or_accessibility,49,21.6
service_conditions_addressed,access_infrastructure_required,service_conditions_addressed,evaluation_or_reflection,49,21.6
evidence_confidence,practitioner_knowledge,evidence_type,practitioner_reflection,49,21.6
library_context,academic_library,service_audience,students,48,21.1
conceptual_theme,educational_psychology,intended_outcome,learning_and_literacy,48,21.1
conceptual_theme,information_behavior_and_practice,service_audience,general_public,48,21.1
