feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
audience,not_applicable,123,200,61.5,1
audience,students,51,200,25.5,2
audience,teens,18,200,9.0,3
audience,children,13,200,6.5,4
audience,general_public,8,200,4.0,5
audience,families,7,200,3.5,6
audience,underserved_or_special_population,6,200,3.0,7
audience,young_adults,6,200,3.0,7
audience,educators,3,200,1.5,8
audience,older_adults,1,200,0.5,9
audience,adults,1,200,0.5,9
coding_confidence,high,195,200,97.5,1
coding_confidence,medium,3,200,1.5,2
coding_confidence,low,2,200,1.0,3
evidence_type,empirical_study,79,200,39.5,1
evidence_type,practitioner_reflection,58,200,29.0,2
evidence_type,theoretical_or_conceptual,26,200,13.0,3
evidence_type,implementation_case,24,200,12.0,4
evidence_type,evidence_synthesis,13,200,6.5,5
evidence_type,instrument_or_framework_development,13,200,6.5,5
evidence_type,content_or_artifact_analysis,12,200,6.0,6
game_format,digital_game,62,200,31.0,1
game_format,multiple_game_formats,50,200,25.0,2
game_format,tabletop_game,20,200,10.0,3
game_format,tabletop_roleplaying_game,19,200,9.5,4
game_format,virtual_or_augmented_reality,14,200,7.0,5
game_format,gamification,13,200,6.5,6
game_format,escape_room_or_breakout_box,8,200,4.0,7
game_format,unspecified_game_format,7,200,3.5,8
game_format,toy_or_open_play,3,200,1.5,9
game_format,game_creation,3,200,1.5,9
game_format,pervasive_game,1,200,0.5,10
intended_outcome,not_applicable,90,200,45.0,1
intended_outcome,learning_and_literacy,64,200,32.0,2
intended_outcome,discovery_and_advisory,25,200,12.5,3
intended_outcome,belonging_and_community,20,200,10.0,4
intended_outcome,creativity_and_production,17,200,8.5,5
intended_outcome,institutional_capacity,14,200,7.0,6
intended_outcome,equitable_access,14,200,7.0,6
intended_outcome,engagement_and_participation,11,200,5.5,7
intended_outcome,cultural_stewardship_and_preservation,6,200,3.0,8
intended_outcome,wellness_and_resilience,3,200,1.5,9
library_context,non_library_context,47,200,23.5,1
library_context,unspecified_library_context,47,200,23.5,1
library_context,public_library,30,200,15.0,2
library_context,cultural_heritage_institution,22,200,11.0,3
library_context,academic_library,22,200,11.0,3
library_context,multiple_library_types,20,200,10.0,4
library_context,school_library,9,200,4.5,5
library_context,library_school,3,200,1.5,6
peer_review,peer_reviewed,116,200,58.0,1
peer_review,editorial_reviewed,39,200,19.5,2
peer_review,unknown,35,200,17.5,3
peer_review,not_applicable,10,200,5.0,4
primary_methodology,none,51,200,25.5,1
primary_methodology,theoretical_or_conceptual,28,200,14.0,2
primary_methodology,case_or_design_study,24,200,12.0,3
primary_methodology,mixed_methods,21,200,10.5,4
primary_methodology,qualitative_study,20,200,10.0,5
primary_methodology,experimental_study,14,200,7.0,6
primary_methodology,survey,14,200,7.0,6
primary_methodology,evidence_synthesis,13,200,6.5,7
primary_methodology,content_analysis,8,200,4.0,8
primary_methodology,historical_analysis,4,200,2.0,9
primary_methodology,participatory_design,2,200,1.0,10
primary_methodology,action_research,1,200,0.5,11
service_area,learning_and_literacy,99,200,49.5,1
service_area,collections_and_access,77,200,38.5,2
service_area,programming_and_facilitation,56,200,28.0,3
service_area,discovery_and_advisory,35,200,17.5,4
service_area,community_and_inclusion,29,200,14.5,5
service_area,professional_capacity,19,200,9.5,6
service_area,cultural_heritage_and_research,14,200,7.0,7
service_area,space_and_infrastructure,13,200,6.5,8
service_area,outreach_and_partnerships,5,200,2.5,9
service_area,creation_and_making,4,200,2.0,10
source_type,peer_reviewed_journal_article,116,200,58.0,1
source_type,toolkit_or_guidance_document,31,200,15.5,2
source_type,professional_publication,22,200,11.0,3
source_type,conference_paper,9,200,4.5,4
source_type,dataset_or_archive,6,200,3.0,5
source_type,book_chapter,6,200,3.0,5
source_type,blog_or_web_article,3,200,1.5,6
source_type,dissertation_or_thesis,2,200,1.0,7
source_type,government_or_foundation_report,2,200,1.0,7
source_type,book,2,200,1.0,7
source_type,unpublished_document,1,200,0.5,8
