feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
game_format,digital_game,62,200,31.0,1
game_format,multiple_game_formats,50,200,25.0,2
game_format,tabletop_game,20,200,10.0,3
game_format,tabletop_roleplaying_game,19,200,9.5,4
game_format,virtual_or_augmented_reality,14,200,7.0,5
game_format,gamification,13,200,6.5,6
game_format,escape_room_or_breakout_box,8,200,4.0,7
game_format,unspecified_game_format,7,200,3.5,8
game_format,game_creation,3,200,1.5,9
game_format,toy_or_open_play,3,200,1.5,9
game_format,pervasive_game,1,200,0.5,10
