feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
primary_methodology,none,48,227,21.1,1
primary_methodology,evidence_synthesis,31,227,13.7,2
primary_methodology,qualitative_study,31,227,13.7,2
primary_methodology,case_or_design_study,29,227,12.8,3
primary_methodology,mixed_methods,22,227,9.7,4
primary_methodology,content_analysis,21,227,9.3,5
primary_methodology,theoretical_or_conceptual,17,227,7.5,6
primary_methodology,survey,14,227,6.2,7
primary_methodology,experimental_study,4,227,1.8,8
primary_methodology,historical_analysis,3,227,1.3,9
primary_methodology,action_research,2,227,0.9,10
primary_methodology,practitioner_reflection,2,227,0.9,10
primary_methodology,quasi-experimental,1,227,0.4,11
primary_methodology,empirical_study,1,227,0.4,11
primary_methodology,cognitive_ethnography,1,227,0.4,11
