feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
service_area,learning_and_literacy,163,227,71.8,1
service_area,community_and_inclusion,76,227,33.5,2
service_area,collections_and_access,65,227,28.6,3
service_area,programming_and_facilitation,51,227,22.5,4
service_area,discovery_and_advisory,42,227,18.5,5
service_area,outreach_and_partnerships,38,227,16.7,6
service_area,cultural_heritage_and_research,25,227,11.0,7
service_area,creation_and_making,14,227,6.2,8
service_area,professional_capacity,12,227,5.3,9
service_area,none,3,227,1.3,10
service_area,wellness_and_resilience,2,227,0.9,11
service_area,space_and_infrastructure,1,227,0.4,12
