feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
service_audience,general_public,100,227,44.1,1
service_audience,students,86,227,37.9,2
service_audience,not_applicable,12,227,5.3,3
service_audience,teens,10,227,4.4,4
service_audience,children,6,227,2.6,5
service_audience,adults,4,227,1.8,6
service_audience,educators,3,227,1.3,7
service_audience,underserved_or_special_population,3,227,1.3,7
service_audience,young_adults,2,227,0.9,8
service_audience,families,1,227,0.4,9
