feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
service_conditions_addressed,skilled_facilitation_required,179,227,78.9,1
service_conditions_addressed,access_infrastructure_required,153,227,67.4,2
service_conditions_addressed,inclusive_design_or_accessibility,125,227,55.1,3
service_conditions_addressed,evaluation_or_reflection,74,227,32.6,4
service_conditions_addressed,community_assessment_needed,34,227,15.0,5
service_conditions_addressed,other,17,227,7.5,6
service_conditions_addressed,sustainable_operations,6,227,2.6,7
service_conditions_addressed,none,2,227,0.9,8
service_conditions_addressed,institutional_capacity,1,227,0.4,9
service_conditions_addressed,"select, describe, and provide access to appropriate games",1,227,0.4,9
service_conditions_addressed,facilitate inclusive and meaningful participation,1,227,0.4,9
