feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
primary_methodology,none,51,200,25.5,1
primary_methodology,theoretical_or_conceptual,28,200,14.0,2
primary_methodology,case_or_design_study,24,200,12.0,3
primary_methodology,mixed_methods,21,200,10.5,4
primary_methodology,qualitative_study,20,200,10.0,5
primary_methodology,experimental_study,14,200,7.0,6
primary_methodology,survey,14,200,7.0,6
primary_methodology,evidence_synthesis,13,200,6.5,7
primary_methodology,content_analysis,8,200,4.0,8
primary_methodology,historical_analysis,4,200,2.0,9
primary_methodology,participatory_design,2,200,1.0,10
primary_methodology,action_research,1,200,0.5,11
