feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
game_format,unspecified_game_format,source_type,peer_reviewed_journal_article,2219,96.3
game_format,unspecified_game_format,service_conditions_addressed,not_applicable,1837,79.7
conceptual_theme,not_identified,game_format,unspecified_game_format,1831,79.4
conceptual_theme,not_identified,source_type,peer_reviewed_journal_article,1813,78.7
service_conditions_addressed,not_applicable,source_type,peer_reviewed_journal_article,1806,78.4
game_format,unspecified_game_format,intended_outcome,not_applicable,1665,72.2
intended_outcome,not_applicable,source_type,peer_reviewed_journal_article,1638,71.1
game_format,unspecified_game_format,service_audience,not_applicable,1630,70.7
service_audience,not_applicable,source_type,peer_reviewed_journal_article,1608,69.8
conceptual_theme,not_identified,service_conditions_addressed,not_applicable,1503,65.2
intended_outcome,not_applicable,service_conditions_addressed,not_applicable,1496,64.9
game_format,unspecified_game_format,service_area,not_applicable,1479,64.2
intended_outcome,not_applicable,service_audience,not_applicable,1444,62.6
service_area,not_applicable,source_type,peer_reviewed_journal_article,1440,62.5
conceptual_theme,not_identified,intended_outcome,not_applicable,1421,61.6
service_audience,not_applicable,service_conditions_addressed,not_applicable,1403,60.9
conceptual_theme,not_identified,service_audience,not_applicable,1396,60.6
intended_outcome,not_applicable,service_area,not_applicable,1378,59.8
game_format,unspecified_game_format,library_context,academic_library,1359,59.0
library_context,academic_library,source_type,peer_reviewed_journal_article,1346,58.4
service_area,not_applicable,service_conditions_addressed,not_applicable,1336,58.0
service_area,not_applicable,service_audience,not_applicable,1260,54.7
conceptual_theme,not_identified,service_area,not_applicable,1234,53.5
conceptual_theme,not_identified,library_context,academic_library,1122,48.7
library_context,academic_library,service_conditions_addressed,not_applicable,1089,47.2
intended_outcome,not_applicable,library_context,academic_library,943,40.9
library_context,academic_library,service_audience,not_applicable,924,40.1
library_context,academic_library,service_area,not_applicable,820,35.6
evidence_type,empirical_study,source_type,peer_reviewed_journal_article,743,32.2
evidence_confidence,theoretical_or_conceptual,game_format,unspecified_game_format,738,32.0
evidence_type,empirical_study,game_format,unspecified_game_format,733,31.8
evidence_confidence,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,718,31.1
evidence_confidence,descriptive_only,source_type,peer_reviewed_journal_article,717,31.1
evidence_confidence,descriptive_only,game_format,unspecified_game_format,716,31.1
evidence_confidence,theoretical_or_conceptual,service_conditions_addressed,not_applicable,687,29.8
evidence_confidence,theoretical_or_conceptual,service_audience,not_applicable,633,27.5
conceptual_theme,not_identified,evidence_confidence,descriptive_only,633,27.5
evidence_confidence,theoretical_or_conceptual,intended_outcome,not_applicable,627,27.2
conceptual_theme,not_identified,evidence_type,empirical_study,599,26.0
evidence_type,empirical_study,library_context,academic_library,598,25.9
evidence_confidence,theoretical_or_conceptual,service_area,not_applicable,581,25.2
game_format,unspecified_game_format,primary_methodology,none,575,24.9
evidence_type,empirical_study,service_conditions_addressed,not_applicable,572,24.8
primary_methodology,none,source_type,peer_reviewed_journal_article,561,24.3
conceptual_theme,not_identified,evidence_confidence,theoretical_or_conceptual,539,23.4
evidence_confidence,descriptive_only,service_conditions_addressed,not_applicable,537,23.3
conceptual_theme,not_identified,primary_methodology,none,533,23.1
evidence_confidence,descriptive_only,service_audience,not_applicable,519,22.5
evidence_type,evidence_synthesis,game_format,unspecified_game_format,516,22.4
evidence_type,empirical_study,intended_outcome,not_applicable,512,22.2
evidence_confidence,descriptive_only,intended_outcome,not_applicable,503,21.8
evidence_type,evidence_synthesis,source_type,peer_reviewed_journal_article,491,21.3
primary_methodology,none,service_conditions_addressed,not_applicable,466,20.2
game_format,unspecified_game_format,library_context,unspecified_library_context,463,20.1
library_context,unspecified_library_context,source_type,peer_reviewed_journal_article,462,20.0
evidence_confidence,descriptive_only,library_context,academic_library,458,19.9
evidence_type,empirical_study,service_area,not_applicable,455,19.7
evidence_type,evidence_synthesis,service_conditions_addressed,not_applicable,443,19.2
evidence_type,empirical_study,service_audience,not_applicable,435,18.9
intended_outcome,not_applicable,primary_methodology,none,429,18.6
primary_methodology,none,service_audience,not_applicable,426,18.5
evidence_type,evidence_synthesis,service_audience,not_applicable,417,18.1
conceptual_theme,not_identified,evidence_type,evidence_synthesis,416,18.0
library_context,unspecified_library_context,service_conditions_addressed,not_applicable,413,17.9
evidence_type,evidence_synthesis,intended_outcome,not_applicable,408,17.7
intended_outcome,not_applicable,library_context,unspecified_library_context,405,17.6
library_context,unspecified_library_context,service_audience,not_applicable,400,17.4
evidence_type,evidence_synthesis,service_area,not_applicable,384,16.7
service_area,collections_and_access,source_type,peer_reviewed_journal_article,384,16.7
conceptual_theme,not_identified,library_context,unspecified_library_context,384,16.7
library_context,unspecified_library_context,service_area,not_applicable,383,16.6
evidence_confidence,descriptive_only,service_area,not_applicable,379,16.4
game_format,unspecified_game_format,service_area,collections_and_access,379,16.4
primary_methodology,none,service_area,not_applicable,360,15.6
conceptual_theme,not_identified,service_area,collections_and_access,342,14.8
evidence_confidence,theoretical_or_conceptual,library_context,academic_library,315,13.7
evidence_type,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,312,13.5
evidence_type,theoretical_or_conceptual,game_format,unspecified_game_format,312,13.5
evidence_confidence,theoretical_or_conceptual,evidence_type,evidence_synthesis,303,13.1
evidence_type,theoretical_or_conceptual,service_conditions_addressed,not_applicable,294,12.8
game_format,unspecified_game_format,primary_methodology,theoretical_or_conceptual,293,12.7
library_context,academic_library,primary_methodology,none,292,12.7
evidence_confidence,theoretical_or_conceptual,evidence_type,theoretical_or_conceptual,288,12.5
primary_methodology,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,287,12.5
evidence_confidence,theoretical_or_conceptual,primary_methodology,theoretical_or_conceptual,286,12.4
evidence_type,theoretical_or_conceptual,service_audience,not_applicable,281,12.2
primary_methodology,content_analysis,source_type,peer_reviewed_journal_article,278,12.1
evidence_type,theoretical_or_conceptual,intended_outcome,not_applicable,277,12.0
game_format,unspecified_game_format,primary_methodology,content_analysis,277,12.0
primary_methodology,theoretical_or_conceptual,service_conditions_addressed,not_applicable,272,11.8
evidence_confidence,promising_evidence,source_type,peer_reviewed_journal_article,270,11.7
evidence_type,evidence_synthesis,library_context,academic_library,264,11.5
evidence_type,theoretical_or_conceptual,service_area,not_applicable,262,11.4
evidence_confidence,promising_evidence,game_format,unspecified_game_format,262,11.4
service_area,collections_and_access,service_audience,not_applicable,261,11.3
primary_methodology,theoretical_or_conceptual,service_audience,not_applicable,258,11.2
library_context,academic_library,service_area,collections_and_access,258,11.2
primary_methodology,survey,source_type,peer_reviewed_journal_article,255,11.1
game_format,unspecified_game_format,primary_methodology,survey,254,11.0
evidence_confidence,promising_evidence,evidence_type,empirical_study,251,10.9
evidence_confidence,theoretical_or_conceptual,library_context,unspecified_library_context,249,10.8
evidence_type,empirical_study,primary_methodology,survey,246,10.7
service_audience,students,source_type,peer_reviewed_journal_article,243,10.5
intended_outcome,not_applicable,primary_methodology,theoretical_or_conceptual,239,10.4
service_area,collections_and_access,service_conditions_addressed,not_applicable,238,10.3
game_format,unspecified_game_format,service_audience,students,238,10.3
evidence_type,practitioner_reflection,game_format,unspecified_game_format,231,10.0
primary_methodology,theoretical_or_conceptual,service_area,not_applicable,231,10.0
primary_methodology,content_analysis,service_conditions_addressed,not_applicable,229,9.9
conceptual_theme,not_identified,primary_methodology,content_analysis,226,9.8
library_context,academic_library,primary_methodology,survey,222,9.6
primary_methodology,content_analysis,service_audience,not_applicable,221,9.6
conceptual_theme,not_identified,primary_methodology,survey,221,9.6
evidence_type,practitioner_reflection,source_type,peer_reviewed_journal_article,219,9.5
evidence_confidence,promising_evidence,library_context,academic_library,219,9.5
evidence_type,implementation_case,source_type,peer_reviewed_journal_article,218,9.5
evidence_confidence,descriptive_only,primary_methodology,none,218,9.5
library_context,academic_library,service_audience,students,217,9.4
evidence_confidence,descriptive_only,evidence_type,empirical_study,216,9.4
conceptual_theme,not_identified,evidence_confidence,promising_evidence,215,9.3
conceptual_theme,not_identified,evidence_type,practitioner_reflection,215,9.3
conceptual_theme,not_identified,evidence_type,theoretical_or_conceptual,214,9.3
game_format,unspecified_game_format,primary_methodology,unspecified,213,9.2
primary_methodology,unspecified,source_type,peer_reviewed_journal_article,212,9.2
evidence_type,implementation_case,game_format,unspecified_game_format,209,9.1
intended_outcome,not_applicable,primary_methodology,content_analysis,208,9.0
primary_methodology,survey,service_conditions_addressed,not_applicable,208,9.0
intended_outcome,not_applicable,service_area,collections_and_access,206,8.9
evidence_confidence,descriptive_only,service_area,collections_and_access,206,8.9
evidence_type,practitioner_reflection,primary_methodology,none,205,8.9
service_conditions_addressed,access_infrastructure_required,source_type,peer_reviewed_journal_article,203,8.8
evidence_type,theoretical_or_conceptual,primary_methodology,theoretical_or_conceptual,197,8.5
conceptual_theme,not_identified,evidence_type,implementation_case,194,8.4
intended_outcome,not_applicable,primary_methodology,survey,192,8.3
game_format,unspecified_game_format,service_conditions_addressed,access_infrastructure_required,192,8.3
evidence_confidence,theoretical_or_conceptual,primary_methodology,none,191,8.3
conceptual_theme,not_identified,primary_methodology,unspecified,185,8.0
primary_methodology,survey,service_area,not_applicable,185,8.0
evidence_type,practitioner_reflection,service_conditions_addressed,not_applicable,185,8.0
library_context,academic_library,primary_methodology,content_analysis,183,7.9
game_format,unspecified_game_format,primary_methodology,evidence_synthesis,183,7.9
evidence_confidence,practitioner_knowledge,game_format,unspecified_game_format,183,7.9
evidence_confidence,promising_evidence,service_conditions_addressed,not_applicable,179,7.8
evidence_confidence,descriptive_only,evidence_type,implementation_case,178,7.7
primary_methodology,evidence_synthesis,source_type,peer_reviewed_journal_article,178,7.7
evidence_type,evidence_synthesis,primary_methodology,evidence_synthesis,177,7.7
conceptual_theme,information_behavior_and_practice,source_type,peer_reviewed_journal_article,177,7.7
evidence_confidence,practitioner_knowledge,source_type,peer_reviewed_journal_article,177,7.7
conceptual_theme,information_behavior_and_practice,game_format,unspecified_game_format,176,7.6
conceptual_theme,not_identified,service_conditions_addressed,access_infrastructure_required,176,7.6
primary_methodology,unspecified,service_conditions_addressed,not_applicable,176,7.6
service_audience,students,service_conditions_addressed,not_applicable,176,7.6
library_context,unspecified_library_context,primary_methodology,none,174,7.5
conceptual_theme,not_identified,primary_methodology,theoretical_or_conceptual,171,7.4
game_format,unspecified_game_format,intended_outcome,institutional_capacity,169,7.3
evidence_type,practitioner_reflection,intended_outcome,not_applicable,164,7.1
primary_methodology,survey,service_audience,not_applicable,163,7.1
intended_outcome,institutional_capacity,source_type,peer_reviewed_journal_article,160,6.9
evidence_type,empirical_study,service_audience,students,159,6.9
primary_methodology,content_analysis,service_area,not_applicable,154,6.7
evidence_confidence,promising_evidence,intended_outcome,not_applicable,154,6.7
intended_outcome,not_applicable,primary_methodology,unspecified,152,6.6
conceptual_theme,not_identified,service_audience,students,151,6.6
