feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
library_context,academic_library,1377,2305,59.7,1
library_context,unspecified_library_context,470,2305,20.4,2
library_context,public_library,136,2305,5.9,3
library_context,cultural_heritage_institution,103,2305,4.5,4
library_context,non_library_context,100,2305,4.3,5
library_context,multiple_library_types,30,2305,1.3,6
library_context,not_applicable,21,2305,0.9,7
library_context,library_school,19,2305,0.8,8
library_context,school_library,16,2305,0.7,9
library_context,"academic_library, cultural_heritage_institution",14,2305,0.6,10
library_context,"academic_library, public_library, multiple_library_types",6,2305,0.3,11
library_context,"academic_library, public_library",3,2305,0.1,12
library_context,"academic_library, cultural_heritage_institution, multiple_library_types",3,2305,0.1,12
library_context,"academic_library, school_library",2,2305,0.1,13
library_context,"school_library, library_school",1,2305,0.0,14
library_context,"public_library, academic_library",1,2305,0.0,14
library_context,"academic_library, library_school, multiple_library_types",1,2305,0.0,14
library_context,"library_school, unspecified_library_context",1,2305,0.0,14
library_context,"academic_library, non_library_context",1,2305,0.0,14
library_context,"public_library, academic_library, multiple_library_types",1,2305,0.0,14
