year_label,article_count,article_pct
1950,29,0.4
1952,39,0.5
1953,26,0.4
1954,34,0.5
1955,33,0.5
1956,38,0.5
1957,34,0.5
1958,28,0.4
1959,38,0.5
1960,36,0.5
1961,51,0.7
1962,82,1.1
1963,49,0.7
1964,48,0.7
1965,61,0.8
1966,47,0.7
1967,57,0.8
1968,85,1.2
1969,80,1.1
1978,1,0.0
1981,8,0.1
1982,24,0.3
1983,36,0.5
1984,19,0.3
1985,30,0.4
1986,26,0.4
1987,29,0.4
1988,47,0.7
1989,32,0.4
1990,40,0.6
1991,27,0.4
1992,45,0.6
1993,56,0.8
1994,49,0.7
1995,48,0.7
1996,79,1.1
1997,72,1.0
1998,100,1.4
1999,81,1.1
2000,150,2.1
2001,121,1.7
2002,161,2.2
2003,138,1.9
2004,140,1.9
2005,138,1.9
2006,124,1.7
2007,113,1.6
2008,104,1.4
2009,130,1.8
2010,132,1.8
2011,116,1.6
2012,141,2.0
2013,133,1.8
2014,368,5.1
2015,377,5.2
2016,350,4.9
2017,383,5.3
2018,295,4.1
2019,257,3.6
2020,287,4.0
2021,266,3.7
2022,194,2.7
2023,236,3.3
2024,223,3.1
2025,259,3.6
2026,120,1.7
n.d.,1,0.0
